id,product_name,url,present_price,old_price,discount,manufacturer,raw_html_path,laptop_type,cpu,cpu_generation,disk_type,disk_size,ram_gb,max_ram_slot,screen_size,screen_resolution,screen_ratio,screen_refresh_rate,gpu_type,gpu_model,weight_kg,ports,special_features,release_year
1,Laptop Acer TravelMate P4 TMP414 51G 59R6 i5 1135G7/16GB/512GB/2GB MX350/Win11 (NX.VP9SV.001),https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51g-59r6-i5-nxvp9sv001,14990000,25990000,0.42,acer,data/raw_htmls/tgdd/acer_11.html,normal,"i5, 1135G7, 2.4GHz",11,SSD NVMe PCIe,512,16,1,14.0,1920 x 1080,16:9,60,dedicated,Nvidia MX350 2GB,1.4,"1 x USB Type-C, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2021
2,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,10990000,13090000,0.16,acer,data/raw_htmls/tgdd/acer_10.html,normal,"i3, 1315U, 1.2GHz",11,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm","Có thể tháo ra, lắp thanh khác tối đa 1 TB",2023
3,Laptop Acer Aspire 5 Gaming A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002),https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,16990000,20490000,0.17,acer,data/raw_htmls/tgdd/acer_0.html,normal,"i5, 13420H, 2.1GHz",13,SSD NVMe PCIe,512,16,1,15.6,1920 x 1080,16:9,60,dedicated,nvidia RTX 2050 4GB,1.7,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB Type-C (hỗ trợ USB, Thunderbolt 4), 2 x USB Type-A",Có đèn bàn phím,2023
4,Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 (NX.A7SSV.007),https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-p3g9-n6000-nxa7ssv007,6990000,7990000,0.13,acer,data/raw_htmls/tgdd/acer_12.html,normal,Pentium N6000 1.1GHz,6000,SSD M.2 PCIe,256,4,1,14.0,1366 x 768,16:9,60,integrated,Intel UHD,1.45,"HDMI, LAN (RJ45), USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)",2021
5,Laptop Acer TravelMate P4 TMP414 51 50HX i5 1135G7/8GB/512GB/Win11 (NX.VP2SV.00T),https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51-50hx-i5-nxvp2sv00t,13990000,22490000,0.38,acer,data/raw_htmls/tgdd/acer_15.html,normal,"i5, 1135G7, 2.4GHz",11,SSD,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.4,"1 x USB Type-C, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2021
7,Laptop Acer Aspire 3 A315 59 314F i3 1215U/8GB/256GB/Win11 (NX.K6TSV.002),https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-314f-i3-nxk6tsv002,8790000,13490000,0.35,acer,data/raw_htmls/tgdd/acer_14.html,normal,"i3, 1215U, 1.2GHz",12,SSD NVMe PCIe,256,8,2,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm","Tháo ra ổ cứng SSD và lắp thanh khác, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng",2022
8,Laptop Acer Aspire 3 A315 59 38PG i3 1215U/8GB/512GB/Win11 (NX.K6TSV.00A),https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a,9490000,13990000,0.32,acer,data/raw_htmls/tgdd/acer_16.html,normal,i3-1215U,12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm","Supports additional HDD SATA slot, Upgradable SSD storage, Windows 11 Home SL",2022
9,Laptop Acer Swift 3 SF314 512 56QN i5 1240P/16GB/512GB/Win11 (NX.K0FSV.002),https://www.thegioididong.com/laptop/acer-swift-3-sf314-512-56qn-i5-nxk0fsv002,18490000,23990000,0.23,acer,data/raw_htmls/tgdd/acer_17.html,normal,"i5, 1240P, 1.7GHz",12,SSD NVMe PCIe,512,16,1,14.0,2160 x 1440,3:2,60,integrated,Intel Iris Xe,1.2,"HDMI, 2 x Thunderbolt 4, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
10,Laptop Acer Aspire 7 Gaming A715 76G 59MW i5 12450H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QMYSV.001),https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-59mw-i5-nhqmysv001,17990000,21490000,0.16,acer,data/raw_htmls/tgdd/acer_18.html,normal,"i5, 12450H, 2GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,Nvidia RTX 2050,2.1,"USB Type-C, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",đèn bàn phím,2023
11,Laptop Acer Aspire 3 A315 58 35AG i3 1115G4/4GB/256GB/Win11 (NX.ADDSV.00B),https://www.thegioididong.com/laptop/acer-aspire-a315-58-35ag-i3-nxaddsv00b,8290000,11290000,0.27,acer,data/raw_htmls/tgdd/acer_19.html,normal,"i3, 1115G4, 3GHz",11,SSD NVMe PCIe,256,4,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, LAN (RJ45), USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",,2021
12,Laptop Acer Aspire 3 A315 58 589K i5 1135G7/8GB/256GB/Win11 (NX.AM0SV.008),https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-589k-i5-nxam0sv008,10990000,13990000,0.21,acer,data/raw_htmls/tgdd/acer_2.html,normal,"i5, 1135G7, 2.4GHz",11,SSD NVMe PCIe,256,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","tháo ra, lắp thanh khác, Hỗ trợ khe cắm HDD SATA",2021
13,Laptop Acer Aspire 3 A314 36M 391A i3 N305/8GB/512GB/Win11 (NX.KDMSV.002),https://www.thegioididong.com/laptop/acer-aspire-3-a314-36m-391a-i3-nxkdmsv002,9490000,11790000,0.2,acer,data/raw_htmls/tgdd/acer_20.html,normal,"i3 chuỗi N, N305",10,SSD,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.4,"USB Type-C, HDMI, USB 3.2, 3.5 mm headphone jack",Windows 11 Home SL,2023
14,Laptop Acer Gaming Nitro V ANV15 51 57B2 i5 13420H/8GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.001),https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-57b2-i5-nhqn8sv001,24490000,26990000,0.09,acer,data/raw_htmls/tgdd/acer_21.html,normal,"i5, 13420H, 2.1GHz",13,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,nvidia RTX 4050,2.1,"USB Type-C, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",đèn bàn phím,2023
17,Laptop Acer TravelMate P4 TMP414 51 73F4 i7 1165G7/16GB/1TB/Win11 (NX.VP2SV.00W),https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51-73f4-i7-nxvp2sv00w,17990000,29790000,0.4,acer,data/raw_htmls/tgdd/acer_25.html,normal,"i7, 1165G7, 2.8GHz",11,SSD,1000,16,2,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.4,"1 x USB Type-C, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2021
18,Laptop Acer Aspire 7 Gaming A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,18990000,22990000,0.17,acer,data/raw_htmls/tgdd/acer_24.html,normal,"i5, 12450H, 2GHz",12,SSD NVMe PCIe,512,16,1,15.6,1920 x 1080,16:9,144,dedicated,Nvidia RTX 3050,2.1,"USB Type-C, HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
21,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,12390000,15990000,0.23,acer,data/raw_htmls/tgdd/acer_3.html,normal,"i5, 1235U, 1.3GHz",12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
